Playlist Name,Video Number and Title
Ask_Me,1. Dr. Foojan Zeine shares about Letting go of rage and revenge
Ask_Me,2. Ask Me - Dr. Foojan Zeine shares her perspective on how to release suffering.
Ask_Me,3. Ask me - Dr. Foojan Zeine shares her view about how to find one's passion
Ask_Me,4. Ask me - Dr. Foojan Zeine answers Am I a candidate for a committed relationship?
Ask_Me,5. Dr. Foojan Zeine shares with you how to let go of suffering
Ask_Me,6. Ask me Segment - Dr. Foojan Zeine talks about Bipolar Disorder
Ask_Me,7. Dr. Foojan Zeine Answers -  How can I handle holiday stress?
Ask_Me,8. Ask Me   - Dr. Foojan Zeine responds to your questions - How do I find my mate?
Ask_Me,9. Dr. Foojan Zeine shares about Transactional Relationships in the Ask me segment
Ask_Me,10. Ask me - Dr. Foojan Zeine  shares  How to go from automatic negative thoughts to positivity?
Ask_Me,11. Ask Me - Dr. Foojan Zeine answers -  How to calm down anxiety attacks?
Ask_Me,12. Ask Dr. Foojan -  A Family in Distress
Ask_Me,13. Dr. Foojan Zeine talks about using sarcasm in communication
Ask_Me,14. Ask me - Dr. Foojan Zeine shares how to be proud of you versus afraid of other people's opinion
Ask_Me,15. Ask Me - Dr. Foojan Zeine answers  How do we go from love to separateness and back?
Ask_Me,16. Ask Me - Dr. Foojan Zeine answers -  How do we go from love to separateness and back?
Ask_Me,17. Ask me - Dr. Foojan Zeine answers How can I be loving and Mean it?
Ask_Me,18. Ask me segment  - Dr. Foojan Zeine - Quitting a bad habit
Ask_Me,19. Ask me segment - Dr. Foojan Zeine answers your questions - How do I trust my intuition?
Ask_Me,20. Ask Me  - Dr. Foojan Zeine answers your questions How to go from Anger to Calm and joy?
Ask_Me,21. Ask Me  -  Dr. Foojan Zeine answers your questions - Am I afraid of Success?
Ask_Me,22. Ask Me  - Dr. Foojan Zeine answers the question of Why can't we forgive.
Ask_Me,23. Ask Me - Dr. Foojan Zeine shares about how to handle emotional numbness
Ask_Me,24. Ask Me segment - Dr. Foojan answers your question How do I get out of thinking negatively
Ask_Me,25. Ask Me - Dr Foojan Zeine answer to How do I handle my elder parents arguing.
Ask_Me,26. Ask Me - Dr. Foojan Zeine answers Why people make me angry?
Ask_Me,27. Ask Me - Dr. Foojan Zeine shares her perspective on Living purposefully after 60
Ask_Me,28. Ask me - Where does Will come from? Dr. Foojan Zeine explains
Ask_Me,29. Ask me  - Dealing with FEAR
Ask_Me,30. Ask me -  Dr. Foojan Zeine - How to let go of my Anxiety
Ask_Me,31. Ask me - Dr. Foojan Zeine - I love him but my family doesn't
